word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
GMT,13,14,8,0
TENNIS,12,27,2,15
A.,11,2,1,20
Ireland,8,7,12,9
Canada,21,14,3,19
standings,0,5,18,2
tabulate,23,27,2,13
women,12,27,24,5
court,13,25,2,1
Kenya,21,14,21,9
until,14,27,2,5
later,7,5,7,3
what,18,5,23,13
those,28,4,28,13
report,27,27,2,13
northern,0,0,2,13
Palestinian,25,9,14,28
does,3,25,2,5
PARIS,10,14,30,9
may,14,27,18,13
Wasim,21,2,1,25
wickets,11,5,19,2
African,26,15,9,12
'S,15,0,7,2
Chicago,16,11,18,17
Police,1,27,27,2
Peter,11,23,1,24
died,23,27,2,1
Ukraine,18,11,3,9
States,3,19,12,19
military,1,25,19,1
support,27,23,19,14
minister,8,5,7,15
higher,22,21,27,13
loss,13,5,18,1
share,0,21,24,13
run,10,21,18,30
late,10,5,24,13
Thomas,11,29,1,20
money,10,25,18,13
agency,22,1,2,5
security,10,5,7,1
She,10,25,2,13
much,23,25,2,1
arrested,10,25,2,27
central,5,0,7,4
another,23,5,7,1
again,13,1,18,21
Commission,9,18,14,9
Union,28,27,14,22
television,7,25,24,21
Two,13,12,5,9
hit,12,21,6,15
oil,18,1,2,2
many,13,25,7,5
TORONTO,29,19,21,3
BALTIMORE,22,19,21,16
went,31,25,2,5
taking,23,5,2,1
local,22,1,6,13
Yeltsin,23,29,1,28
Foreign,24,16,18,4
refugees,2,27,2,1
de,24,12,0,7
total,23,1,2,13
TO,0,5,19,5
following,30,27,27,26
hours,12,27,27,27
these,23,25,2,13
election,23,25,2,13
record,13,25,2,13
Total,10,16,2,5
Amsterdam,8,18,22,9
unless,3,25,2,21
tennis,12,25,2,27
get,20,25,2,13
S.,20,6,12,8
Waqar,21,2,4,15
Younis,16,15,20,10
date,16,21,23,13
Romania,11,30,21,9
Australian,31,14,8,31
ago,2,25,19,26
L,19,0,29,30
runs,3,25,27,3
overs,0,5,28,5
*,7,5,28,30
decision,8,4,2,15
leader,4,16,24,31
On,1,1,19,3
economic,27,16,19,13
town,3,1,1,1
quoted,4,5,19,31
like,22,25,24,3
ahead,23,25,27,13
Net,1,0,0,4
AMSTERDAM,12,14,30,9
top,12,25,18,13
Slovakia,8,30,12,12
Mushtaq,16,23,4,20
OPEN,13,9,19,0
draw,13,5,24,26
Costa,11,14,22,7
hospital,10,27,28,2
Halftime,27,27,7,30
Lanka,21,22,12,16
morning,13,5,24,1
released,12,5,2,5
high,20,27,2,2
yen,23,5,23,13
Co,9,26,4,30
trading,0,5,2,27
seen,0,5,19,27
@.@-@.@,23,1,7,26
rose,13,5,6,13
FOR,8,27,24,26
announced,24,5,2,2
manager,4,16,7,31
countries,5,25,28,5
me,27,5,6,21
test,3,5,2,3
own,22,21,18,13
southern,0,25,27,21
Jordan,26,24,22,7
press,11,25,2,13
leading,13,27,2,13
prefix,13,25,2,1
asked,1,5,19,2
halftime,22,25,27,1
Argentina,8,14,30,9
winning,23,27,7,1
That,12,5,7,2
little,13,27,1,13
national,24,5,7,13
power,2,21,1,27
city,3,5,27,21
several,10,25,2,1
newspaper,22,5,24,5
@:@,11,5,18,13
rights,10,23,2,13
pound,23,5,23,21
"@,@-@,@",3,5,23,1
whether,9,25,27,1
came,8,21,2,30
campaign,12,27,18,21
attack,10,5,19,9
return,5,1,24,5
PRESS,7,25,19,2
DIGEST,2,25,2,13
markets,13,5,1,13
Corp,9,18,4,0
immediately,12,25,18,31
Result,7,27,19,5
denotes,3,0,2,15
led,4,25,18,1
way,1,25,18,2
Croft,16,15,16,10
scored,8,21,18,15
@rd,12,5,23,13
away,5,5,2,5
BOSTON,16,11,29,16
FRANCISCO,16,19,3,14
nine,10,25,18,2
order,23,16,19,13
recent,23,5,2,13
yet,23,25,7,3
work,3,25,18,13
declared,1,27,7,13
us,23,5,2,13
First,5,12,26,4
taken,2,5,2,14
accused,27,21,2,27
office,29,8,23,30
figures,23,0,27,13
quarter,10,25,1,21
@M,10,16,19,21
previous,1,1,1,4
must,7,5,18,3
Kurdish,14,19,30,0
ceasefire,13,23,18,13
troops,13,5,2,23
Turkey,11,14,12,9
men,2,27,19,2
cash,23,5,2,21
weeks,23,16,2,13
Scorers,8,21,7,30
seeding,5,21,18,2
G.,11,2,1,25
Khan,14,13,10,27
Poland,18,9,12,9
W,23,25,18,26
KANSAS,25,19,29,6
SEATTLE,22,18,21,19
HOUSTON,9,16,16,12
COLORADO,22,19,16,9
cut,22,21,6,5
average,0,21,24,13
Ajax,19,20,21,25
already,23,25,18,13
%,23,5,2,13
charges,13,1,2,21
authorities,27,25,18,31
plans,22,5,27,21
details,27,21,2,5
Exchange,9,26,5,0
budget,23,5,18,1
stock,10,0,24,5
Group,22,0,5,2
comment,1,5,7,31
North,17,6,13,29
Played,27,21,2,2
Dole,14,2,4,25
disease,16,0,19,15
Washington,16,30,17,25
sent,30,4,24,5
No,26,22,5,14
side,7,25,27,13
near,3,0,2,3
possible,7,5,7,13
rates,12,27,2,5
@-@/@,13,25,2,1
give,10,5,19,5
few,23,27,2,13
club,12,25,24,2
Mullally,23,23,16,24
champions,2,25,27,3
Switzerland,8,14,21,9
Olympic,31,9,28,0
Division,10,1,5,30
MINNESOTA,25,9,21,17
AUGUST,5,5,27,30
ATLANTA,22,11,22,6
ST,25,24,18,23
LOS,28,19,17,6
opening,13,27,2,13
tour,10,5,24,13
north,0,5,2,3
Bosnia,27,14,30,9
plane,10,21,2,21
chief,29,5,19,3
companies,22,5,28,15
fourth,8,25,24,1
tabulated,23,27,7,2
're,13,27,18,13
vote,23,27,19,3
workers,7,5,6,5
further,27,27,19,27
contract,7,25,24,21
growth,10,27,2,1
general,8,5,6,31
reporters,8,5,2,15
Egypt,10,30,30,19
guerrillas,0,5,27,3
fighting,0,5,2,30
ban,0,1,2,2
failed,1,21,2,2
U.N.,19,20,8,18
October,23,21,19,13
These,3,25,18,3
April,27,5,24,15
given,13,27,2,26
@nd,7,16,7,1
aggregate,21,25,27,1
Europe,20,26,22,19
D.,11,23,26,8
ENGLAND,10,30,12,9
squad,11,25,2,13
coach,12,27,19,31
Indonesia,18,30,3,9
percentage,10,27,7,23
shot,15,5,2,1
allowed,16,21,19,15
used,27,25,24,5
Robert,20,29,26,8
'm,27,16,19,26
production,23,0,2,13
including,5,5,27,5
think,23,25,18,26
Democratic,25,2,14,12
business,7,21,6,5
Party,28,18,26,4
AND,5,0,7,30
Nigeria,12,26,3,19
Jerusalem,3,10,12,19
City,1,15,3,9
bonds,27,5,2,21
action,5,25,19,27
believed,10,0,2,3
bond,7,25,28,26
International,26,10,31,4
without,12,25,24,1
level,23,25,7,13
embassy,3,5,18,5
free,23,27,18,30
help,3,25,7,26
industry,23,25,18,23
Ministry,28,7,0,4
BONN,10,14,30,19
too,10,27,18,23
CUP,26,1,21,0
Morocco,8,14,12,9
If,4,25,19,1
N.,11,2,1,20
White,10,3,9,29
PAKISTAN,12,14,21,9
signed,24,5,24,13
GB,23,21,7,2
DETROIT,26,7,10,25
CLEVELAND,29,9,18,17
ANGELES,24,19,3,9
PSV,9,20,8,18
THE,9,28,18,26
One,26,28,5,30
children,12,5,24,13
area,5,25,27,26
best,12,5,24,4
major,12,25,27,13
Grand,14,31,11,11
forces,27,21,18,13
airport,10,21,2,21
volume,23,27,2,13
@/@/@,21,5,28,26
see,23,5,2,1
forecast,7,25,19,27
such,27,5,7,23
@-,22,5,28,13
train,1,1,2,21
strike,20,21,1,30
long,11,21,2,5
ENGLISH,13,11,8,0
current,24,27,19,5
despite,10,0,27,23
coming,16,5,27,2
control,10,25,7,21
planned,0,5,19,21
main,27,5,7,13
future,27,1,2,1
know,12,16,18,31
Series,26,31,5,11
Scott,21,29,27,20
Sohail,23,17,4,10
Scotland,18,14,16,9
Van,24,3,31,22
CALIFORNIA,22,9,21,25
Williams,29,13,26,18
injured,3,27,7,2
clear,3,5,24,2
pay,23,27,2,3
death,23,27,18,13
prison,11,27,2,5
school,5,5,2,5
Bosnian,25,14,8,11
might,27,21,18,1
position,7,21,24,30
case,16,5,27,2
paper,22,25,27,5
Ltd,9,18,26,4
Belgian,31,14,8,31
lot,13,5,2,13
WASHINGTON,20,14,30,9
FC,6,20,10,22
Honda,11,20,8,23
holiday,27,5,18,27
policy,27,27,2,11
call,12,1,2,14
reports,27,27,2,1
talk,7,25,28,5
estimated,15,25,6,5
parties,20,5,7,13
Saudi,25,9,30,7
trying,24,25,19,2
Turkish,17,14,8,0
law,23,5,18,14
March,1,25,2,5
WORLD,2,31,28,4
short,7,25,2,5
head,8,1,19,21
R.,11,2,1,25
Alex,21,23,1,20
penalty,7,5,7,26
rule,23,1,19,1
face,0,25,18,21
Major,14,31,24,31
MONTREAL,26,19,18,20
LOUIS,24,15,4,17
DIEGO,4,29,4,19
got,23,25,2,13
hits,12,1,7,30
ground,10,27,18,13
making,5,27,2,26
Some,13,5,2,2
groups,22,21,2,13
soon,10,25,2,21
today,4,4,19,31
each,12,21,7,21
army,21,5,2,13
prime,12,5,6,1
arrived,10,21,19,30
bln,27,25,24,13
confirmed,7,5,7,31
Lebed,23,24,4,28
charged,6,5,18,13
rise,10,16,24,21
Munich,28,26,5,29
process,12,25,18,3
Mother,21,13,27,8
HONG,25,19,11,7
series,10,21,24,1
reached,3,27,24,13
Serb,15,9,30,11
services,23,5,18,27
Fortuna,6,7,21,18
Swiss,15,9,14,11
Rica,21,19,12,16
BRUSSELS,17,14,12,10
known,20,25,2,13
overall,14,25,1,15
Taiwan,7,14,30,9
right,12,5,19,21
Netanyahu,23,29,4,20
working,10,31,6,1
dealers,27,25,2,5
verified,4,25,18,14
daily,22,16,24,5
stated,27,21,19,1
Steve,21,2,1,20
Jim,24,2,1,20
BEAT,5,5,18,5
km,3,5,24,2
past,12,8,6,13
cricket,11,5,2,2
P.,11,15,1,20
Lewis,19,15,4,24
Cork,16,24,4,24
Aamir,21,2,1,20
Manchester,19,6,21,19
great,13,27,2,13
named,4,25,24,31
WESTERN,17,14,30,20
FLORIDA,11,13,18,6
PHILADELPHIA,3,13,29,23
PITTSBURGH,26,7,21,3
WIN,27,5,24,5
Borussia,7,20,8,9
Ian,11,2,1,20
result,22,23,19,13
better,22,5,28,3
stocks,10,1,18,2
levels,27,0,2,5
service,10,25,7,21
MOSCOW,10,14,21,9
Chechnya,11,30,21,9
himself,11,5,24,4
sell,7,5,28,26
poor,11,27,7,3
financial,23,27,18,13
scheduled,8,1,6,5
agreement,5,25,19,21
killing,4,27,2,13
conference,8,5,27,5
across,18,21,2,1
KONG,25,15,26,17
change,12,1,18,1
hold,13,25,24,26
Chinese,13,11,8,0
&,6,15,4,19
Mexico,21,7,30,9
An,24,4,15,27
Dutroux,29,29,27,20
Nations,26,26,5,17
similar,3,27,2,27
brought,23,27,19,13
goal,9,21,6,14
GERMAN,21,14,8,31
wanted,24,27,24,26
term,10,5,2,13
message,10,25,19,21
PUK,22,20,8,18
force,24,5,18,27
attacks,23,5,7,21
quiet,12,27,2,13
Red,17,18,17,7
vouch,0,25,2,13
accuracy,22,25,2,2
step,26,27,2,13
strong,7,1,24,13
traded,22,21,2,13
earnings,1,1,1,2
members,23,1,7,2
question,23,27,19,21
After,11,27,2,13
GOLF,31,22,27,17
Chris,21,2,4,8
Park,17,15,4,19
California,26,11,17,17
Second,13,8,19,4
opened,0,5,24,26
J.,11,15,17,20
Russell,16,17,4,10
V,17,0,0,30
Extras,23,27,19,2
Bowling,12,27,19,13
Todd,11,2,1,20
leg,9,5,7,23
@st,14,0,19,21
Medvedev,23,29,16,28
Johnson,17,10,1,29
MAJOR,31,14,30,31
Baseball,26,1,5,24
EASTERN,17,31,30,31
CENTRAL,17,14,14,31
SCHEDULE,23,21,2,1
CINCINNATI,3,29,8,18
Texas,16,7,21,7
big,13,5,19,13
sold,6,25,2,1
interest,0,27,27,13
fall,9,5,28,2
caught,10,5,18,13
trial,26,25,2,13
seed,12,25,19,13
really,18,27,18,21
times,12,25,7,13
latest,23,25,18,13
couple,13,5,18,21
returned,8,25,1,1
passengers,11,27,19,13
denied,16,5,19,4
private,22,21,7,14
Sudanese,13,14,8,0
Moslem,23,14,8,11
come,26,25,18,13
Sept,23,0,2,1
dead,2,0,24,26
nuclear,23,25,19,30
Stock,9,19,26,30
Teresa,16,17,20,20
More,27,25,19,2
offer,13,25,2,26
protest,22,5,27,5
Western,20,9,9,28
NATO,9,20,8,23
complete,23,25,7,13
YR,9,21,27,5
options,3,5,24,26
miles,3,5,24,11
Japanese,14,14,8,31
stage,12,5,2,1
Rotterdam,27,26,3,9
EU,29,20,21,18
period,11,25,18,27
domestic,23,5,2,5
gains,13,5,27,3
compared,20,25,27,1
sets,22,21,18,13
dealer,13,5,2,13
@s,13,27,27,13
futures,4,0,18,27
analysts,26,5,7,13
debt,23,27,6,2
started,2,5,2,27
Jan,24,31,1,14
competition,8,25,24,30
problems,10,5,2,14
risk,13,27,1,5
Sanchez,16,24,4,24
premier,4,8,2,15
title,23,5,19,1
CHAMPIONSHIP,2,1,25,15
scores,12,1,2,13
County,26,26,20,17
C.,11,2,1,20
Fall,12,21,24,5
Denmark,12,30,21,12
Cyprus,21,14,21,9
Colombia,28,30,3,29
MILWAUKEE,22,18,29,6
TEXAS,11,20,14,18
OAKLAND,3,29,8,18
tried,23,25,7,4
fifth,7,25,24,26
Jose,11,29,1,24
RESULT,5,0,2,5
rounds,10,5,2,1
violence,27,23,18,13
woman,1,25,18,13
Bill,21,29,1,20
Korean,26,9,20,12
His,13,0,27,1
showed,3,5,18,14
civil,10,21,1,21
far,9,25,27,26
As,22,1,2,13
having,24,25,2,1
TOKYO,10,26,21,29
Italian,7,11,8,0
RUGBY,25,6,20,4
gold,18,5,19,27
declined,12,5,19,31
tax,27,21,19,30
Yellow,3,21,28,31
conditions,13,21,2,13
nearly,6,5,6,2
island,26,5,7,27
slightly,5,5,24,1
February,10,0,2,21
full,27,25,27,27
Polish,23,14,8,0
continue,4,25,24,13
Iran,29,24,30,9
based,31,25,2,13
areas,10,21,19,1
region,27,0,2,13
province,3,25,24,21
steady,23,23,18,13
problem,20,25,27,5
November,12,27,2,13
Lebanon,16,11,13,17
continued,23,27,28,26
value,22,5,28,5
analyst,7,5,19,4
Jul,23,25,23,26
Le,19,13,8,6
keep,23,5,7,1
admitted,31,5,2,3
SCORES,26,5,2,2
course,23,16,6,5
Davis,25,2,24,10
Alexander,11,2,16,20
Stewart,11,24,4,10
Wayne,21,29,16,15
finished,7,21,7,23
pounds,23,5,2,21
never,1,23,7,21
Saeed,24,2,1,20
Anwar,23,17,25,7
Mohammad,31,15,4,8
bat,8,21,18,30
Ijaz,23,2,4,20
ON,27,23,18,31
MANCHESTER,16,9,16,19
Philippoussis,23,24,4,28
Zimbabwe,10,14,30,9
Norway,12,30,21,19
Hapoel,26,29,14,19
Hungary,18,11,3,29
Atletico,19,20,8,18
Wimbledon,15,9,20,7
Richard,11,2,1,20
Carlos,31,29,16,22
GAMES,11,25,18,13
DUTCH,14,11,8,0
COLOMBO,8,9,12,29
All,16,16,18,21
track,3,27,27,21
seeded,12,21,2,21
point,27,27,27,26
boy,18,21,2,2
Interfax,19,20,8,23
mission,7,5,19,5
radio,24,5,24,1
least,9,1,2,13
Thai,1,11,30,0
expect,7,25,7,15
stay,11,25,7,3
suffered,20,21,6,2
life,10,5,19,26
State,3,28,14,22
completed,13,25,18,13
Security,6,20,31,4
EPS,23,21,18,5
treaty,3,27,2,2
weapons,7,0,2,15
important,10,16,7,13
investors,18,5,24,21
need,10,25,19,13
San,26,18,16,17
Year,13,1,5,15
basis,23,27,2,13
rupiah,11,1,2,13
property,5,5,28,15
wicket,10,5,7,15
ball,13,27,27,21
struck,22,21,18,3
Atlanta,31,7,22,7
Cuba,18,14,21,9
'll,16,4,7,21
discuss,12,25,19,13
Singapore,26,16,29,19
find,27,1,2,1
illegal,10,25,2,21
plant,0,25,2,27
positive,23,25,18,21
Marseille,11,20,14,18
Lens,16,20,8,23
one-day,5,8,2,13
met,8,25,18,13
CYCLING,12,27,2,30
OSCE,9,20,8,23
municipal,27,5,18,21
Motorola,30,20,8,23
votes,23,1,27,4
rupees,9,5,28,1
senior,26,5,24,26
feed,10,25,7,13
car,12,22,7,21
yr,10,16,7,13
executive,29,21,19,1
JERUSALEM,25,7,21,7
recently,22,25,19,13
source,5,25,27,5
Iranian,17,9,9,20
movement,17,5,18,13
cooperation,22,21,19,5
outside,5,5,18,3
However,13,27,2,14
likely,9,25,19,15
Street,15,27,3,17
output,0,21,7,2
exports,27,0,18,13
human,27,27,18,27
Ohio,3,14,30,29
Scores,18,27,19,2
NEC,25,6,14,18
F.C.,19,20,14,6
feel,9,25,19,3
George,11,2,4,25
Date,23,23,2,31
director,4,8,19,13
TEST,27,16,7,2
Oval,3,19,4,16
nb-@,10,21,28,1
AFTER,12,23,18,27
jail,27,27,7,21
've,12,25,24,21
moment,23,5,23,13
Croatia,10,30,12,9
Chile,21,14,12,9
resignation,12,16,19,31
Malaysia,8,30,12,9
Tennis,10,22,26,17
Venezuela,18,30,30,29
Seattle,16,7,21,25
@TH,25,4,24,5
Rangers,7,20,14,19
dropped,27,5,18,26
defence,16,27,28,5
Brussels,27,14,17,16
ROUND,26,5,7,7
Juan,11,29,27,24
believe,13,25,7,21
even,18,25,27,21
always,11,5,18,1
break,7,5,7,13
staff,23,16,23,4
difficult,12,5,19,14
seized,23,25,18,5
girl,10,5,24,26
house,11,25,6,30
Grozny,16,30,12,9
rebel,8,5,24,1
currency,23,23,7,13
cost,23,0,23,27
teams,23,22,18,1
saw,12,31,6,2
arrest,13,27,24,1
according,4,5,7,13
Hamburg,16,7,17,9
received,23,27,23,2
here,10,0,19,21
independence,27,0,2,13
Indian,14,9,30,10
condition,3,5,28,26
name,22,1,27,27
A$,13,14,8,0
NOTE,5,5,5,2
management,27,5,19,23
McLaren,14,9,14,18
FRENCH,1,21,8,12
once,12,21,18,13
Republican,15,11,8,28
hijackers,5,0,2,13
kph,10,5,24,1
Sheffield,19,20,8,28
Leeds,14,7,8,18
public,11,21,2,5
how,23,5,19,23
player,22,21,18,15
Bucharest,21,18,29,9
Morris,28,2,24,29
coalition,9,21,19,13
unq,23,1,18,5
orders,7,5,1,5
drugs,23,5,2,1
increase,10,1,2,1
General,30,20,3,30
light,1,27,2,13
ISS,2,20,26,23
Service,6,0,4,0
fight,23,1,19,5
become,11,25,2,5
Baghdad,10,24,30,9
serious,16,5,28,2
air,0,21,24,2
summer,23,23,18,13
visited,8,25,18,13
buy,22,1,28,3
Summary,27,25,7,2
sale,4,21,27,13
guilders,23,5,7,1
use,27,0,7,1
committee,1,25,2,30
Jason,19,2,27,20
leaving,10,31,2,1
Essex,16,9,8,25
